"Guid","SBQQ__IsRead__c","SBQQ__JobDetails__c","SBQQ__JobId__c","SBQQ__JobStatus__c","SBQQ__RecordId__c","SBQQ__RedirectUrl__c","SBQQ__Stacktrace__c"
11b7c46d-7897-432f-9a44-cb56b4720a76,false,"#N/A",707Hs0000HU5Zy6,"#N/A",a344x0000000vMeAAI::QuoteCalculator,"#N/A","#N/A"
20d9ffab-6ed5-4a61-a165-649ad5c04f3d,false,"#N/A",707Hs0000HU5Zy3,Completed,a344x0000000vWHAAY::QuoteCalculator,"#N/A","#N/A"
4d9b9f4b-7366-4094-a0c5-c9a33d37c01e,false,"#N/A","#N/A",Completed,a344x0000000vW7AAI::QuoteCalculator,"#N/A","#N/A"
6853824a-ca5a-4cca-83a3-cad6d6c3e568,false,"#N/A",707Hs0000HU5Zy7,Completed,a344x0000000vWCAAY::QuoteCalculator,"#N/A","#N/A"
75c250fd-89d6-48f9-b170-61d79cb192bd,false,"#N/A","#N/A",Completed,a344x0000000vWMAAY::QuoteCalculator,"#N/A","#N/A"
b2620bb4-6b59-4907-9c0a-fb788be3db66,false,"#N/A",707Hs0000HU5Zy4,"#N/A",a344x0000000vWWAAY::QuoteCalculator,"#N/A","#N/A"
c8d1d9e4-69d5-4e62-adb5-c5d0b2d27855,false,"#N/A","#N/A",Completed,a344x0000000vWRAAY::QuoteCalculator,"#N/A","#N/A"
ea764008-974b-489b-9e93-12439e280be0,true,"#N/A",707Hs0000HU5Zy5,"#N/A",a344x0000000vW7AAI::QuoteDocumentService,"#N/A","#N/A"
