"Guid","Name","SBQQ__BorderColor__c","SBQQ__BottomMargin__c","SBQQ__ColumnHeaderHidden__c","SBQQ__ConditionalPrintField__c","SBQQ__Content__c","SBQQ__DisplayOrder__c","SBQQ__FilterField__c","SBQQ__FilterOperator__c","SBQQ__FilterValue__c","SBQQ__GroupField__c","SBQQ__KeepTogether__c","SBQQ__KeepWithNext__c","SBQQ__KeepWithPrevious__c","SBQQ__PageBreak__c","SBQQ__QuoteTotalsPrinted__c","SBQQ__RollUpField__c","SBQQ__SummaryDisplay__c","SBQQ__Template__c","SBQQ__TopMargin__c"
16198597-2502-4ff3-9e52-05b1b466d1e3,Lines,"#N/A",0.0,false,"#N/A",37a1cb7d-5a9f-4cc2-b49b-2f6de905d39f,20.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",ac81a9bf-5ca3-4e26-8f2c-6416bf224b2f,0.0
65aa6902-c5fb-4d17-bb51-63467dc9341e,Top,"#N/A",0.0,false,"#N/A",ba660cfe-b06b-44fc-b4bd-dfcdc49e0c2d,10.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",ac81a9bf-5ca3-4e26-8f2c-6416bf224b2f,0.0
eb5a1ab3-710d-4ac6-9d99-0b0782a10ab1,Bottom,"#N/A",0.0,false,"#N/A",dcb107f4-4be2-410d-aa85-c3b2713a3d07,30.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",ac81a9bf-5ca3-4e26-8f2c-6416bf224b2f,0.0
